customer,email,age,gender,merchant,category,amount,fraud,timestamp
C100045114,nmontgomery@example.net,4,M,M348934600,transportation,35.13,0,2023-08-01 09:09:38
C100045114,nmontgomery@example.net,4,M,M348934600,transportation,27.63,0,2023-08-01 09:16:57
C100045114,nmontgomery@example.net,4,M,M348934600,transportation,13.46,0,2023-08-01 09:24:16
C100045114,nmontgomery@example.net,4,M,M348934600,transportation,28.86,0,2023-08-01 09:31:36
C100045114,nmontgomery@example.net,4,M,M151143676,barsandrestaurants,64.99,0,2023-08-01 09:38:55
C100045114,nmontgomery@example.net,4,M,M1198415165,wellnessandbeauty,33.98,0,2023-08-01 09:46:14
C100045114,nmontgomery@example.net,4,M,M480139044,health,35.88,0,2023-08-01 09:53:34
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,28.26,0,2023-08-01 09:09:38
C1000699316,knightlauren@example.org,4,M,M85975013,food,70.84,0,2023-08-01 09:12:00
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,44.9,0,2023-08-01 09:14:23
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,28.38,0,2023-08-01 09:16:46
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,15.04,0,2023-08-01 09:19:09
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,25.21,0,2023-08-01 09:21:32
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,23.21,0,2023-08-01 09:23:55
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,3.84,0,2023-08-01 09:26:18
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,51.57,0,2023-08-01 09:28:41
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,25.69,0,2023-08-01 09:31:04
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,11.62,0,2023-08-01 09:33:26
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,28.6,0,2023-08-01 09:35:49
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,16.05,0,2023-08-01 09:38:12
C1000699316,knightlauren@example.org,4,M,M85975013,food,23.52,0,2023-08-01 09:40:35
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,56.72,0,2023-08-01 09:42:58
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,47.84,0,2023-08-01 09:45:21
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,30.63,0,2023-08-01 09:47:44
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,4.91,0,2023-08-01 09:50:07
C1000699316,knightlauren@example.org,4,M,M1823072687,transportation,34.53,0,2023-08-01 09:52:30
C1002759277,morgan84@example.net,1,F,M348934600,transportation,15.33,0,2023-08-01 09:10:42
C1002759277,morgan84@example.net,1,F,M348934600,transportation,29.14,0,2023-08-01 09:12:50
C1002759277,morgan84@example.net,1,F,M348934600,transportation,30.23,0,2023-08-01 09:14:59
C1002759277,morgan84@example.net,1,F,M348934600,transportation,47.68,0,2023-08-01 09:17:07
C1002759277,morgan84@example.net,1,F,M209847108,wellnessandbeauty,88.23,0,2023-08-01 09:19:16
C1002759277,morgan84@example.net,1,F,M348934600,transportation,38.41,0,2023-08-01 09:21:25
C1002759277,morgan84@example.net,1,F,M348934600,transportation,48.46,0,2023-08-01 09:23:33
C1002759277,morgan84@example.net,1,F,M348934600,transportation,7.33,0,2023-08-01 09:25:42
C1002759277,morgan84@example.net,1,F,M348934600,transportation,20.26,0,2023-08-01 09:27:50
