timestamp,amount,email,age,gender,merchant,category,fraud,session_key
2023-08-01 10:58:37.877,271.82010218923494,XXXXXXXXXXXXX@example.org,4,M,M855959430,hyper,0,0.0
2023-08-01 11:03:14.394,246.1887476735063,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:08:17.438,239.8501527949666,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:13:54.838,218.674722860425,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:20:06.071,195.39042485171998,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:26:49.644,172.5294610737686,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:33:51.276,153.55111291390693,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:40:59.002,142.43927584456608,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:48:07.038,150.20182977777262,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:55:11.674,150.1928825515983,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:02:12.052,153.5122119305404,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:09:06.201,154.93321908705764,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:15:52.575,156.0745510561008,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:22:29.567,149.8262293419029,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:28:54.281,149.8343070166843,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:35:02.851,144.07600039531656,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:40:55.592,147.37338504305362,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:46:30.664,134.4604095609101,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 12:51:48.214,142.02859587487228,XXXXXXXXXXXXX@example.org,4,M,M348934600,transportation,0,0.0
2023-08-01 11:02:37.634,531.5105272979148,XXXXXX@example.com,3,F,M1400236507,hotelservices,1,1.0
2023-08-01 10:09:12.791,414.39577596493507,XXXXXXXX@example.net,2,M,M1823072687,sportsandtoys,0,2.0
2023-08-01 10:16:03.029,407.73478346601223,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:23:16.774,388.5228234595687,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:30:56.967,369.6238790716376,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:39:06.030,345.12378803513957,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:47:38.869,301.42468873136596,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:56:29.652,282.61501065879537,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:05:26.877,262.9136305157379,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:14:20.825,254.11040662868203,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:23:07.996,252.55480206971652,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:31:42.446,260.37925433233863,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:40:01.592,256.89191847111584,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:48:01.601,257.22385827388945,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 11:55:37.995,245.37699856530338,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 12:02:50.788,253.72595049836357,XXXXXXXX@example.net,2,M,M348934600,transportation,0,2.0
2023-08-01 10:53:21.815,255.19089288315362,XXXXXXXX@example.org,3,M,M348934600,transportation,0,3.0
2023-08-01 10:57:10.180,264.104801509353,XXXXXXXX@example.org,3,M,M348934600,transportation,0,3.0
2023-08-01 11:01:25.941,254.0639313950247,XXXXXXXX@example.org,3,M,M348934600,transportation,0,3.0
2023-08-01 11:06:10.161,244.2499226625175,XXXXXXXX@example.org,3,M,M348934600,transportation,0,3.0
